,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,RankA,RankB,Time
MSANTD1,1.074628967,0.982997319,1.174802203,0.113458634,1.063105899,0.926845591,1.219398531,0.381884172,29,32,0
NCOA4,0.893413216,0.819308316,0.974220765,0.010737166,0.889920978,0.761442329,1.040077912,0.142648319,17,26,1
NCOA4,0.893413216,0.819308316,0.974220765,0.010737166,0.889920978,0.761442329,1.040077912,0.142648319,18,27,0
PCBP1,0.980319199,0.899694606,1.068168826,0.649873094,0.981002465,0.847638842,1.135348911,0.796968577,46,48,0
PCBP2,1.036084705,0.950985868,1.1287986,0.417554425,1.039341335,0.933734754,1.156892153,0.480295234,37,37,0
POLE3,1.024438591,0.939684549,1.116836951,0.583693025,1.024095155,0.934028659,1.12284658,0.61221234,43,39,0
PRNP,1.229791216,1.127941357,1.340837824,2.74E-06,1.233596899,1.104350826,1.377969095,0.000201035,2,2,0
SAT1,0.958496338,0.87644871,1.04822475,0.353190159,0.926003433,0.798513641,1.073848101,0.309048161,35,30,0
SAT2,0.900718687,0.824036232,0.984536991,0.021265644,0.898308825,0.778924178,1.035991394,0.140488169,20,25,0
SLC11A2,0.965866592,0.88476945,1.054397023,0.437651007,0.970681865,0.869914645,1.083121533,0.59464694,40,38,0
SLC39A14,1.130362475,1.035435708,1.233991947,0.0061805,1.132586495,0.993381384,1.291298778,0.062783791,14,18,0
SLC39A8,0.980420797,0.894460323,1.074642347,0.672771266,0.981167312,0.832686339,1.15612476,0.820348526,47,49,0
SLC3A2,1.13641147,1.04183847,1.239569344,0.003920175,1.13415585,1.021831189,1.258827784,0.017990048,11,9,0
SLC40A1,0.874529716,0.798770869,0.957473857,0.003732257,0.873382569,0.77892914,0.979289479,0.020430526,10,10,0
SLC7A11,1.272366704,1.159219434,1.396557874,3.99E-07,1.322413787,1.111393857,1.573499992,0.001628813,1,4,0
STEAP3,1.159986972,1.062726218,1.266149034,0.00089506,1.143893367,0.96747584,1.352480321,0.115702827,7,22,0
TAX1BP1,1.097371638,1.00707004,1.195770368,0.033941736,1.092742704,0.995876061,1.199031348,0.061108868,22,15,1
TAX1BP1,1.097371638,1.00707004,1.195770368,0.033941736,1.092742704,0.995876061,1.199031348,0.061108868,23,16,0
TF,1.088125845,0.963068159,1.229422699,0.175148405,1.156797046,0.95432433,1.402227067,0.137881978,32,24,0
TFRC,1.189190554,1.088824798,1.29880783,0.00011736,1.221038519,1.064059669,1.401176182,0.004450574,4,5,1
TFRC,1.189190554,1.088824798,1.29880783,0.00011736,1.221038519,1.064059669,1.401176182,0.004450574,5,6,0
TP53,0.966286948,0.88712683,1.052510685,0.431633206,0.964581682,0.880076251,1.057201372,0.440785047,39,35,0
VDAC2,1.203581451,1.104809027,1.311184354,2.22E-05,1.204180413,1.100713057,1.317373731,5.05E-05,3,1,0
VDAC3,1.01747319,0.932180847,1.11056958,0.698173438,1.017378666,0.930561418,1.112295577,0.704992043,48,44,0
